CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance
11032,35,AW00011032,NULL,Denise,NULL,Stone,0,12/8/1952,M,NULL,F,denise10@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,626 Bentley Street,NULL,1 (11) 500 555-0169,2/18/2011,1-2 Miles
11033,9,AW00011033,NULL,Jaime,NULL,Nath,0,9/19/1958,M,NULL,M,jaime41@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,5927 Rainbow Dr,NULL,1 (11) 500 555-0137,2/15/2011,5-10 Miles
11034,12,AW00011034,NULL,Ebony,NULL,Gonzalez,0,12/16/1952,M,NULL,F,ebony19@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,5167 Condor Place,NULL,1 (11) 500 555-0136,2/1/2011,5-10 Miles
11035,33,AW00011035,NULL,Wendy,NULL,Dominguez,0,8/23/1953,M,NULL,F,wendy12@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,1873 Mt. Whitney Dr,NULL,1 (11) 500 555-0177,2/6/2011,1-2 Miles
11036,343,AW00011036,NULL,Jennifer,C,Russell,0,6/16/1984,M,NULL,F,jennifer93@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,3981 Augustine Drive,NULL,115-555-0183,1/22/2013,1-2 Miles
11037,49,AW00011037,NULL,Chloe,M,Garcia,0,5/27/1983,S,NULL,F,chloe27@adventure-works.com,40000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,8915 Woodside Way,NULL,229-555-0112,1/20/2013,5-10 Miles
11038,6,AW00011038,NULL,Diana,F,Hernandez,0,9/20/1953,M,NULL,F,diana2@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,8357 Sandy Cove Lane,NULL,1 (11) 500 555-0114,2/7/2011,5-10 Miles
11039,19,AW00011039,NULL,Marc,J,Martin,0,6/16/1954,M,NULL,M,marc3@adventure-works.com,30000,3,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,9353 Creekside Dr.,NULL,1 (11) 500 555-0183,2/7/2011,5-10 Miles
11040,642,AW00011040,NULL,Jesse,NULL,Murphy,0,1/29/1983,M,NULL,M,jesse15@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,3350 Kingswood Circle,NULL,961-555-0176,4/3/2013,1-2 Miles
11041,325,AW00011041,NULL,Amanda,M,Carter,0,4/15/1983,M,NULL,F,amanda53@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,5826 Escobar,NULL,295-555-0145,1/14/2013,1-2 Miles
11042,338,AW00011042,NULL,Megan,J,Sanchez,0,12/11/1982,M,NULL,F,megan28@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,1397 Paraiso Ct.,NULL,404-555-0199,1/21/2013,0-1 Miles
11043,325,AW00011043,NULL,Nathan,M,Simmons,0,8/23/1981,M,NULL,M,nathan11@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,1170 Shaw Rd,NULL,296-555-0181,5/8/2013,5-10 Miles
11044,25,AW00011044,NULL,Adam,L,Flores,0,11/21/1954,M,NULL,M,adam10@adventure-works.com,20000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,6935 Candle Dr,NULL,1 (11) 500 555-0163,2/28/2011,1-2 Miles
11045,8,AW00011045,NULL,Leonard,G,Nara,0,11/16/1955,S,NULL,M,leonard18@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7466 La Vista Ave.,NULL,1 (11) 500 555-0151,4/10/2013,1-2 Miles
11046,6,AW00011046,NULL,Christine,NULL,Yuan,0,9/19/1955,M,NULL,F,christine4@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,2356 Orange St,NULL,1 (11) 500 555-0113,2/6/2011,5-10 Miles
11047,34,AW00011047,NULL,Jaclyn,D,Lu,0,8/27/1955,M,NULL,F,jaclyn12@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,2812 Mazatlan,NULL,1 (11) 500 555-0137,2/3/2011,1-2 Miles
11048,39,AW00011048,NULL,Jeremy,NULL,Powell,0,5/21/1956,M,NULL,M,jeremy26@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,1803 Potomac Dr.,NULL,1 (11) 500 555-0183,2/10/2011,5-10 Miles
11049,307,AW00011049,NULL,Carol,C,Rai,0,1/15/1986,S,NULL,F,carol8@adventure-works.com,40000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,6064 Madrid,NULL,654-555-0180,3/9/2013,5-10 Miles
11050,31,AW00011050,NULL,Alan,NULL,Zheng,0,3/6/1957,M,NULL,M,alan23@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,2741 Gainborough Dr.,NULL,1 (11) 500 555-0135,2/20/2011,5-10 Miles
11051,21,AW00011051,NULL,Daniel,NULL,Johnson,0,1/31/1957,S,NULL,M,daniel18@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,8085 Sunnyvale Avenue,NULL,1 (11) 500 555-0155,12/29/2013,1-2 Miles
11052,8,AW00011052,NULL,Heidi,NULL,Lopez,0,2/3/1957,S,NULL,F,heidi19@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,2514 Via Cordona,NULL,1 (11) 500 555-0168,2/17/2011,5-10 Miles
11053,359,AW00011053,NULL,Ana,E,Price,0,2/17/1986,M,NULL,F,ana0@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,1660 Stonyhill Circle,NULL,859-555-0113,1/17/2013,1-2 Miles
11054,34,AW00011054,NULL,Deanna,NULL,Munoz,0,9/7/1957,M,NULL,F,deanna33@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,5825 B Way,NULL,1 (11) 500 555-0192,2/3/2011,5-10 Miles
11055,22,AW00011055,NULL,Gilbert,NULL,Raje,0,9/2/1957,M,NULL,M,gilbert35@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8811 The Trees Dr.,NULL,1 (11) 500 555-0129,1/31/2011,5-10 Miles
11056,10,AW00011056,NULL,Michele,L,Nath,0,10/1/1958,M,NULL,F,michele19@adventure-works.com,40000,3,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,5464 Janin Pl.,NULL,1 (11) 500 555-0178,2/26/2011,5-10 Miles
11057,5,AW00011057,NULL,Carl,J,Andersen,0,4/7/1970,M,NULL,M,carl12@adventure-works.com,70000,2,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,6930 Lake Nadine Place,NULL,1 (11) 500 555-0181,2/22/2011,1-2 Miles
11058,29,AW00011058,NULL,Marc,NULL,Diaz,0,4/23/1965,M,NULL,M,marc6@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,6645 Sinaloa,NULL,1 (11) 500 555-0149,3/9/2011,1-2 Miles
11059,27,AW00011059,NULL,Ashlee,J,Andersen,0,9/29/1959,S,NULL,F,ashlee19@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8255 Highland Road,NULL,1 (11) 500 555-0112,2/18/2013,5-10 Miles
11060,40,AW00011060,NULL,Jon,L,Zhou,0,9/14/1959,M,NULL,M,jon28@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,6574 Hemlock Ave.,NULL,1 (11) 500 555-0174,3/19/2011,5-10 Miles
11061,23,AW00011061,NULL,Todd,M,Gao,0,2/20/1976,M,NULL,M,todd14@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8808 Geneva Ave,NULL,1 (11) 500 555-0191,3/13/2011,5-10 Miles
11062,547,AW00011062,NULL,Noah,D,Powell,0,3/1/1981,M,NULL,M,noah5@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,9794 Marion Ct,NULL,767-555-0113,1/7/2013,5-10 Miles
11063,634,AW00011063,NULL,Angela,NULL,Murphy,0,10/4/1980,S,NULL,F,angela41@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,4927 Virgil Street,# 21,451-555-0162,1/12/2013,5-10 Miles
11064,315,AW00011064,NULL,Chase,NULL,Reed,0,6/5/1981,M,NULL,M,chase21@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,2721 Alexander Pl.,NULL,892-555-0184,1/25/2013,5-10 Miles
11065,331,AW00011065,NULL,Jessica,NULL,Henderson,0,4/8/1979,M,NULL,F,jessica29@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,9343 Ironwood Way,NULL,278-555-0186,2/10/2013,1-2 Miles
11066,543,AW00011066,NULL,Grace,T,Butler,0,5/27/1979,M,NULL,F,grace62@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,4739 Garden Ave.,NULL,712-555-0141,5/31/2013,5-10 Miles
11067,632,AW00011067,NULL,Caleb,F,Carter,0,3/25/1982,S,NULL,M,caleb40@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,9563 Pennsylvania Blvd.,NULL,944-555-0167,8/18/2013,5-10 Miles
11068,40,AW00011068,NULL,Tiffany,NULL,Liang,0,9/19/1966,S,NULL,F,tiffany17@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,4/30/2013,5-10 Miles
11069,23,AW00011069,NULL,Carolyn,NULL,Navarro,0,9/17/1966,S,NULL,F,carolyn30@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,4606 Springwood Court,NULL,1 (11) 500 555-0145,4/17/2011,1-2 Miles
11070,39,AW00011070,NULL,Willie,T,Raji,0,10/2/1960,M,NULL,M,willie40@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,6260 Vernal Drive,NULL,1 (11) 500 555-0151,4/28/2011,5-10 Miles
11071,24,AW00011071,NULL,Linda,NULL,Serrano,0,12/23/1960,S,NULL,F,linda31@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,9808 Shaw Rd.,NULL,1 (11) 500 555-0130,3/1/2013,5-10 Miles
11072,17,AW00011072,NULL,Casey,NULL,Luo,0,8/5/1960,S,NULL,F,casey6@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,9513 Roslyn Drive,NULL,1 (11) 500 555-0125,3/31/2011,1-2 Miles
11073,16,AW00011073,NULL,Amy,NULL,Ye,0,2/11/1962,S,NULL,F,amy16@adventure-works.com,70000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,2262 Kirkwood Ct.,NULL,1 (11) 500 555-0185,3/23/2013,5-10 Miles
11074,28,AW00011074,NULL,Levi,A,Arun,0,2/25/1962,S,NULL,M,levi6@adventure-works.com,70000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,4661 Bluetail,NULL,1 (11) 500 555-0127,3/23/2013,5-10 Miles
11075,32,AW00011075,NULL,Felicia,L,Jimenez,0,5/16/1963,S,NULL,F,felicia4@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,786 Eastgate Ave,NULL,1 (11) 500 555-0165,4/28/2011,5-10 Miles
11076,19,AW00011076,NULL,Blake,NULL,Anderson,0,1/10/1963,S,NULL,M,blake9@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,5436 Clear,# 101,1 (11) 500 555-0113,4/21/2011,5-10 Miles
11077,36,AW00011077,NULL,Leah,NULL,Ye,0,3/19/1963,S,NULL,F,leah7@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,1291 Arguello Blvd.,NULL,1 (11) 500 555-0154,4/15/2011,1-2 Miles
11078,49,AW00011078,NULL,Gina,E,Martin,0,1/6/1985,S,NULL,F,gina1@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,1349 Sol St.,NULL,196-555-0114,2/15/2013,1-2 Miles
11079,34,AW00011079,NULL,Donald,NULL,Gonzalez,0,3/7/1970,S,NULL,M,donald20@adventure-works.com,160000,0,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,4236 Malibu Place,NULL,1 (11) 500 555-0137,3/15/2013,0-1 Miles
11080,30,AW00011080,NULL,Damien,NULL,Chander,0,1/13/1965,M,NULL,M,damien32@adventure-works.com,170000,0,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,9941 Stonehedge Dr.,NULL,1 (11) 500 555-0111,4/10/2011,0-1 Miles
11081,311,AW00011081,NULL,Savannah,C,Baker,0,1/21/1972,M,NULL,F,savannah39@adventure-works.com,120000,2,2,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,1210 Trafalgar Circle,NULL,478-555-0117,2/12/2013,2-5 Miles
11082,322,AW00011082,NULL,Angela,L,Butler,0,2/1/1972,S,NULL,F,angela17@adventure-works.com,130000,0,1,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,3,6040 Listing Ct,NULL,579-555-0195,1/22/2013,1-2 Miles
11083,336,AW00011083,NULL,Alyssa,F,Cox,0,3/11/1977,M,NULL,F,alyssa37@adventure-works.com,130000,0,1,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,3,867 La Orinda Place,NULL,561-555-0140,1/6/2013,1-2 Miles
11084,543,AW00011084,NULL,Lucas,NULL,Phillips,0,3/12/1963,S,NULL,M,lucas7@adventure-works.com,80000,2,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,0,2,8668 St. Celestine Court,NULL,863-555-0172,1/4/2013,1-2 Miles
11085,345,AW00011085,NULL,Emily,NULL,Johnson,0,1/16/1963,S,NULL,F,emily1@adventure-works.com,60000,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,7926 Stephanie Way,NULL,850-555-0184,12/6/2013,5-10 Miles
11086,369,AW00011086,NULL,Ryan,NULL,Brown,0,6/22/1963,M,NULL,M,ryan43@adventure-works.com,70000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,0,2939 Wesley Ct.,NULL,539-555-0198,7/2/2013,0-1 Miles
11087,307,AW00011087,NULL,Tamara,L,Liang,0,4/2/1963,M,NULL,F,tamara6@adventure-works.com,70000,3,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,0,3791 Rossmor Parkway,NULL,178-555-0152,2/25/2013,0-1 Miles
11088,359,AW00011088,NULL,Hunter,NULL,Davis,0,5/25/1963,M,NULL,M,hunter64@adventure-works.com,80000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,0,4308 Sand Pointe Lane,NULL,612-555-0141,1/13/2013,2-5 Miles
11089,337,AW00011089,NULL,Abigail,M,Price,0,8/5/1962,S,NULL,F,abigail25@adventure-works.com,80000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,2685 Blackburn Ct,NULL,532-555-0117,12/29/2012,2-5 Miles
11090,338,AW00011090,NULL,Trevor,NULL,Bryant,0,12/13/1968,S,NULL,M,trevor18@adventure-works.com,90000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,5781 Sharon Dr.,NULL,853-555-0174,8/7/2011,2-5 Miles
